severity,code,count,requirement_ids,message_examples
warning,REQ_ATOMICITY_ANDOR,6,PLV-028;PLV-043;PLV-074;PLV-082;PLV-088;PLV-112,Requirement contains 'and/or' which is often ambiguous; consider splitting. | Requirement contains 'and/or' which is often ambiguous; consider splitting. | Requirement contains 'and/or' which is often ambiguous; consider splitting.
warning,REQ_ATOMICITY_CONJUNCTION,8,PLV-014;PLV-026;PLV-031;PLV-052;PLV-056;PLV-106;PLV-109;PLV-122,Requirement may be compound (contains 'shall ... and ... shall ...'); consider splitting. | Requirement may be compound (contains 'shall ... and ... shall ...'); consider splitting. | Requirement may be compound (contains 'shall ... and ... shall ...'); consider splitting.
warning,REQ_ATOMICITY_MULTI_SHALL,8,PLV-014;PLV-026;PLV-031;PLV-052;PLV-056;PLV-106;PLV-109;PLV-122,Requirement contains 2 occurrences of 'shall'; may be compound. | Requirement contains 2 occurrences of 'shall'; may be compound. | Requirement contains 2 occurrences of 'shall'; may be compound.
